ID,Name,Type,Description,Variable Tracked,Unit Amount,Level,Reward Currency,Reward Start Value
0,Distance_Accumulation,Accumulation,loc_challenge_distance_accum,Distance,Dynamic,0,Coins,1000
1,Money_Earned_Accumulation,Accumulation,loc_challenge_coins_accum,Money,Dynamic,0,Coins,1000
2,Shots_Accumulation,Accumulation,loc_challenge_shots_accum,Shot,5,0,Coins,1000
3,Shots_Accumulation,Accumulation,loc_challenge_shots_accum,Shot,10,3,Coins,1000
4,Shots_Accumulation,Accumulation,loc_challenge_shots_accum,Shot,20,5,Coins,1000
5,Shots_Accumulation,Accumulation,loc_challenge_shots_accum,Shot,30,6,Coins,1000
6,Shots_Accumulation,Accumulation,loc_challenge_shots_accum,Shot,40,7,Coins,1000
7,Shots_Accumulation,Accumulation,loc_challenge_shots_accum,Shot,50,8,Coins,1000
8,Shots_Accumulation,Accumulation,loc_challenge_shots_accum,Shot,60,9,Coins,1000
9,Shots_Accumulation,Accumulation,loc_challenge_shots_accum,Shot,70,10,Coins,1000
10,Shots_Accumulation,Accumulation,loc_challenge_shots_accum,Shot,80,11,Coins,1000
11,Shots_Accumulation,Accumulation,loc_challenge_shots_accum,Shot,90,12,Coins,1000
12,Shots_Accumulation,Accumulation,loc_challenge_shots_accum,Shot,100,13,Coins,1000
13,Goals_Accumulation,Accumulation,loc_challenge_goals_accum,Goal,3,0,Coins,1000
14,Goals_Accumulation,Accumulation,loc_challenge_goals_accum,Goal,5,3,Coins,1000
15,Goals_Accumulation,Accumulation,loc_challenge_goals_accum,Goal,7,5,Coins,1000
16,Goals_Accumulation,Accumulation,loc_challenge_goals_accum,Goal,10,6,Coins,1000
17,Goals_Accumulation,Accumulation,loc_challenge_goals_accum,Goal,13,7,Coins,1000
18,Goals_Accumulation,Accumulation,loc_challenge_goals_accum,Goal,18,8,Coins,1000
19,Goals_Accumulation,Accumulation,loc_challenge_goals_accum,Goal,22,9,Coins,1000
20,Goals_Accumulation,Accumulation,loc_challenge_goals_accum,Goal,26,10,Coins,1000
21,Goals_Accumulation,Accumulation,loc_challenge_goals_accum,Goal,30,11,Coins,1000
22,Perfects_Accumulation,Accumulation,loc_challenge_perfect_accum,Perfect,3,0,Coins,1000
23,Perfects_Accumulation,Accumulation,loc_challenge_perfect_accum,Perfect,5,3,Coins,1000
24,Perfects_Accumulation,Accumulation,loc_challenge_perfect_accum,Perfect,7,5,Coins,1000
25,Perfects_Accumulation,Accumulation,loc_challenge_perfect_accum,Perfect,10,6,Coins,1000
26,Perfects_Accumulation,Accumulation,loc_challenge_perfect_accum,Perfect,13,7,Coins,1000
27,Perfects_Accumulation,Accumulation,loc_challenge_perfect_accum,Perfect,18,8,Coins,1000
28,Perfects_Accumulation,Accumulation,loc_challenge_perfect_accum,Perfect,22,9,Coins,1000
29,Perfects_Accumulation,Accumulation,loc_challenge_perfect_accum,Perfect,26,10,Coins,1000
30,Perfects_Accumulation,Accumulation,loc_challenge_perfect_accum,Perfect,30,11,Coins,1000
31,Goals_Streak,Streak,loc_challenge_goals_streak,Goal,2,0,Coins,1000
32,Goals_Streak,Streak,loc_challenge_goals_streak,Goal,3,3,Coins,1000
33,Goals_Streak,Streak,loc_challenge_goals_streak,Goal,4,5,Coins,1000
34,Goals_Streak,Streak,loc_challenge_goals_streak,Goal,5,6,Coins,1000
35,Goals_Streak,Streak,loc_challenge_goals_streak,Goal,6,7,Coins,1000
36,Goals_Streak,Streak,loc_challenge_goals_streak,Goal,7,8,Coins,1000
37,Goals_Streak,Streak,loc_challenge_goals_streak,Goal,8,9,Coins,1000
38,Goals_Streak,Streak,loc_challenge_goals_streak,Goal,9,10,Coins,1000
39,Goals_Streak,Streak,loc_challenge_goals_streak,Goal,10,11,Coins,1000
40,Perfects_Streak,Streak,loc_challenge_perfect_streak,Perfect,2,0,Coins,1000
41,Perfects_Streak,Streak,loc_challenge_perfect_streak,Perfect,3,3,Coins,1000
42,Perfects_Streak,Streak,loc_challenge_perfect_streak,Perfect,4,5,Coins,1000
43,Perfects_Streak,Streak,loc_challenge_perfect_streak,Perfect,5,6,Coins,1000
44,Perfects_Streak,Streak,loc_challenge_perfect_streak,Perfect,6,7,Coins,1000
45,Perfects_Streak,Streak,loc_challenge_perfect_streak,Perfect,7,8,Coins,1000
46,Perfects_Streak,Streak,loc_challenge_perfect_streak,Perfect,8,9,Coins,1000
47,Perfects_Streak,Streak,loc_challenge_perfect_streak,Perfect,9,10,Coins,1000
48,Perfects_Streak,Streak,loc_challenge_perfect_streak,Perfect,10,11,Coins,1000
49,Cars_Hit_Accumulation,Accumulation,loc_challenge_vehicles_accum,Car Hit,2,0,Coins,1000
